,created_at,tweet,clean_tweets,tweet_len,sentiment
10,2019-10-14 12:54:12,RT @MARKPOINT0904: 191013 KEEP SPINNING TOUR IN BERLIN #GOT7 #MARK #段宜恩 #갓세븐 #마크 #GOT7WORLDTOUR #GOT7_KEEPSPINNING #GOT7inBerlin my BATMAN…,markpoint keep spinning tour berlin got mark got worldtour got keepspinning got inberlin batman,95,0
11,2019-10-14 12:54:13,"Ha ha ha.....
That's why world thinks these country as JOKER COUNTRY.",ha ha ha world think untry joker country,40,0
12,2019-10-14 12:54:13,@ATEEZ__SEONGHWA It is scary... Scarier than Joker,ateez seonghwa scary scarier joker,34,-1
13,2019-10-14 12:54:13,@JohnRentoul Where was the Joker sitting?,johnrentoul joker sitting,25,0
14,2019-10-14 12:54:14,RT @redsteeze: Thinking this video somehow will  incite violence against media brands is no different than thinking Joker will lead to mass…,redsteeze thinking video somehow incite violence medium brand different thinking joker lead mass,96,0
15,2019-10-14 12:54:14,"RT @cylenta: this scene of joker

“the worst part of having a mental illness is people expect you to behave as if you don’t” https://t.co/y…",cylenta scene joker worst pa mental illness people expect behave,64,-1
16,2019-10-14 12:54:14,"RT @vintagefetish: cultural impact:

 ███████
 ███████
 ███████
 ███████ 
 ███████
 ███████
 ███████         ______________

JOKER dancing…",vintagefetish cultural impact joker dancing,43,1
17,2019-10-14 12:54:14,"As expected, Joker was nowhere near dark enough or violent enough for me. Was a decent movie which the internet has… https://t.co/KvbHkt8QFV",expected joker nowhere near dark enough violent enough decent movie internet kvbhkt qfv,87,-1
18,2019-10-14 12:54:14,"If i can re-tweet an artists work when i see a repost, then the original gets da re-tweet.

ALWAYS RT THE ORIGINAL… https://t.co/siJfcJdqDQ",tweet ists work see repost original get da tweet always original sijfcjdqdq,75,1
19,2019-10-14 12:54:14,RT @emilyyoshida: I was prepared for a wide array of things in JOKER but still thinking about how nobody warned me how bad the music and ed…,emilyyoshida prepared wide array thing joker still thinking nobody warned bad music ed,86,-1
20,2019-10-14 12:54:18,RT @redsteeze: Thinking this video somehow will  incite violence against media brands is no different than thinking Joker will lead to mass…,redsteeze thinking video somehow incite violence medium brand different thinking joker lead mass,96,0
21,2019-10-14 12:54:18,"RT @MeghanMcCain: No it isn’t - the joker is a fictional character from a comic book. One of the people in this video is my Dad, sitting se…",meghanmccain joker fictional character mic book one people video dad sitting se,79,0
22,2019-10-14 12:54:19,"RT @kentsularte: ""there's a little joker in all of us or else how could we make it in this world of broken dreams"" https://t.co/5NhDAcB80E",kentsula e little joker u else uld make world broken dream nhdacb e,67,-1
23,2019-10-14 12:54:19,"RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a 2019 #NYCC exclusive Pink Chrome Batman Pop!  
#Funko #Exclusive #Givea…",originalfunko amp follow originalfunko chance win nycc exclusive pink chrome batman pop funko exclusive givea,109,1
24,2019-10-14 12:54:20,"RT @EpitafioDeSicil: Joaquin Phoenix on the set of ""Joker"" https://t.co/7ZZWNmq3WB",epitafiodesicil joaquin phoenix set joker zzwnmq wb,51,0
25,2019-10-14 12:54:19,#joker was phenomenal. I had to sleep on it.  #joaquinphoenix Is my favorite Joker. https://t.co/bGl6QAciKV,joker phenomenal sleep joaquinphoenix favorite joker bgl qacikv,63,1
26,2019-10-14 12:54:20,"RT @witchsenpai: Joker is a good movie but it wasn't meant to entertain people, you're not supposed to enjoy it. You're suppose to learn fr…",witchsenpai joker good movie meant ente people supposed enjoy suppose learn fr,78,1
27,2019-10-14 12:54:21,RT @linabugz: ....seeing this made me realize how god awful Jared Leto‘ Joker laugh was HOLY HELL https://t.co/UIy8CbPQTx,linabugz seeing made realize god awful jared leto joker laugh holy hell uiy cbpqtx,82,-1
28,2019-10-14 12:54:21,RT @triofrancos: I saw Joker last night. My hot take: (1) this movie doesn’t valorize “violence”; it depicts class war (2) it indicts neoli…,triofran saw joker last night hot take movie valorize violence depicts class war indicts neoli,94,1
29,2019-10-14 12:54:21,"RT @angelicaaira: Tw mental illness

Just watched Joker. I burst into tears many times. Bec of the small things. Buying meds. Needing to do…",angelicaaira tw mental illness watched joker burst tear many time bec small thing buying med needing,100,1
30,2019-10-14 12:54:22,"RT @kingxhaziq: Prophet Muhammad got treated like shit too , even shittier for in fact. but did he ever became depressed? did he became a b…",kingxhaziq prophet muhammad got treated like shit even shittier fact ever became depressed became b,99,-1
31,2019-10-14 12:54:22,"Hey #comics fans! Did you read The #Batman's Grave #1 by @warrenellis
&amp; @THEBRYANHITCH. I was excited to see these… https://t.co/yVzHWudhp8",hey mics fan read batman grave warrenellis amp thebryanhitch excited see yvzhwudhp,82,1
32,2019-10-14 12:54:22,RT @sherlockhoImez: Joker (2019) https://t.co/Ru7lnZ35B3,sherlockhoimez joker ru lnz b,29,0
33,2019-10-14 12:54:22,RT @bllhdr: y’all seem to be forgetting the most iconic take on the joker to date https://t.co/cyYsu9Vqhf,bllhdr seem forgetting nic take joker date cyysu vqhf,53,0
34,2019-10-14 12:54:23,RT @TheTwitofRunako: The Joker but he laughs like Luigi https://t.co/6V6Ilpm6cu,thetwitofrunako joker laugh like luigi v ilpm cu,48,1
35,2019-10-14 12:54:23,RT @shierinnab: — deepest lines of joker — https://t.co/463dzvPJs8,shierinnab deepest line joker dzvpjs,36,0
36,2019-10-14 12:54:24,"RT @kentsularte: ""there's a little joker in all of us or else how could we make it in this world of broken dreams"" https://t.co/5NhDAcB80E",kentsula e little joker u else uld make world broken dream nhdacb e,67,-1
37,2019-10-14 13:04:16,"RT @kentsularte: ""there's a little joker in all of us or else how could we make it in this world of broken dreams"" https://t.co/5NhDAcB80E",kentsula e little joker u else uld make world broken dream nhdacb e,67,-1
38,2019-10-14 13:04:17,"Joaquin Phoenix based his laugh on ""videos of people suffering from pathological laughter."" #Joker",joaquin phoenix based laugh video people suffering pathological laughter joker,78,1
39,2019-10-14 13:04:17,RT @shierinnab: — deepest lines of joker — https://t.co/463dzvPJs8,shierinnab deepest line joker dzvpjs,36,0
40,2019-10-14 13:04:17,"Watched #JOKER yesterday
.
Now I understand all the noise, the talks, the love and hate and that wave of artworks a… https://t.co/ntt6M8X6Ae",watched joker yesterday understand noise talk love hate wave work ntt x ae,74,-1
41,2019-10-14 13:04:17,RT @MARKPOINT0904: 191013 KEEP SPINNING TOUR IN BERLIN #GOT7 #MARK #段宜恩 #갓세븐 #마크 #GOT7WORLDTOUR #GOT7_KEEPSPINNING #GOT7inBerlin my BATMAN…,markpoint keep spinning tour berlin got mark got worldtour got keepspinning got inberlin batman,95,0
42,2019-10-14 13:04:19,"Joker wasn’t for “comic book” fans. It’s for people who understand the nuance of making a well-shot, artistically b… https://t.co/reewqooRNc",joker mic book fan people understand nuance making well shot istically b reewqoornc,83,0
43,2019-10-14 13:04:19,RT @p5cezaria: I like how A. Akechi is included in the Phantom Thieves and B. Akechi and Joker's poses mirror each other. https://t.co/XgpF…,p cezaria like akechi included phantom thief b akechi joker pose mirror xgpf,76,0
44,2019-10-14 13:04:21,RT @thejcolelines: 'What do you get when you cross a mentally ill loner with a society that abandons him and treats him like a trash? I’ll…,thej lelines get cross mentally ill loner society abandon treat like trash,74,-1
45,2019-10-14 13:04:21,"RT @ElvisTheAlienTV: oh god oh fuck all of the kids who saw joker cant let their anger out on each other in fortnite, fellow americans lock…",elvisthealientv oh god oh fuck kid saw joker cant let anger fo nite fellow american lock,88,-1
46,2019-10-14 13:04:21,&gt;cant wait for Harley Quinn https://t.co/ZuRl0YVDuf,gt cant wait harley quinn zurl yvduf,36,0
47,2019-10-14 13:04:21,"RT @doytieee: beer, my joker https://t.co/1xubmWIHh3",doytieee beer joker xubmwihh,28,0
48,2019-10-14 13:04:21,"RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a 2019 #NYCC exclusive Pink Chrome Batman Pop!  
#Funko #Exclusive #Givea…",originalfunko amp follow originalfunko chance win nycc exclusive pink chrome batman pop funko exclusive givea,109,1
49,2019-10-14 13:04:22,"RT @mattyglesias: This seems more worth worrying about than the joker movie 

https://t.co/wGA8rkhtWr",mattyglesias seems wo h worrying joker movie wga rkhtwr,55,0
50,2019-10-14 13:04:22,RT @MARKPOINT0904: 191013 KEEP SPINNING TOUR IN BERLIN #GOT7 #MARK #段宜恩 #갓세븐 #마크 #GOT7WORLDTOUR #GOT7_KEEPSPINNING #GOT7inBerlin my BATMAN…,markpoint keep spinning tour berlin got mark got worldtour got keepspinning got inberlin batman,95,0
51,2019-10-14 13:04:23,RT @daamiedwards: Good Morning. Joker passed shazam &amp; crossed $540M worldwide. Fakeass dc fans/crybaby reeve superman fans/batman doesnt ki…,daamiedwards good morning joker passed shazam amp crossed worldwide fakeass dc fan crybaby reeve superman fan batman doesnt ki,126,1
52,2019-10-14 13:04:23,RT @chalameche: Joker (2019) https://t.co/nRKskRuK7q,chalameche joker nrkskruk q,27,0
53,2019-10-14 13:04:23,RT @linabugz: ....seeing this made me realize how god awful Jared Leto‘ Joker laugh was HOLY HELL https://t.co/UIy8CbPQTx,linabugz seeing made realize god awful jared leto joker laugh holy hell uiy cbpqtx,82,-1
54,2019-10-14 13:04:23,@AbigailMbula Joker,abigailmbula joker,18,0
55,2019-10-14 13:04:23,"RT @TeajGee: Joker (2019)

This is no Suicide Squad, this is no Avengers, THIS IS JOKER. A dark and psychological masterpiece on the backst…",teajgee joker suicide squad avenger joker dark psychological masterpiece backst,79,-1
56,2019-10-14 13:04:23,RT @victorfyt: joker https://t.co/TpTepGkv9n,victorfyt joker tptepgkv n,26,0
57,2019-10-14 13:04:24,@nailainayat The movie JOKER trailer released from Pakistan,nailainayat movie joker trailer released pakistan,49,0
58,2019-10-14 13:04:25,"RT @kingxhaziq: Prophet Muhammad got treated like shit too , even shittier for in fact. but did he ever became depressed? did he became a b…",kingxhaziq prophet muhammad got treated like shit even shittier fact ever became depressed became b,99,-1
59,2019-10-14 13:04:25,"RT @dreamlikedaniel: me, pennywise, and the joker being the best clowns of 2019
https://t.co/rMZDjzK2nm",dreamlikedaniel pennywise joker best clown rmzdjzk nm,53,1
60,2019-10-14 13:04:25,@bethany_ce @snillo_ @cynnerr @ynotes_ Wetin Batman no go see for gotham,bethany ce snillo cynnerr ynotes wetin batman go see gotham,59,0
61,2019-10-14 13:04:25,@cinnamonswiift you should read batman: hush there’s a website that have them online bc i feel you about the collecting part,cinnamonswiift read batman hush website online bc feel llecting pa,66,0
62,2019-10-14 13:04:25,"Trump is like Joker from Batman: The Dark Knight, he just wants to watch the world burn. https://t.co/2rZHwwvLwZ",trump like joker batman dark knight want watch world burn rzhwwvlwz,67,-1
63,2019-10-14 13:04:26,RT @redsteeze: Thinking this video somehow will  incite violence against media brands is no different than thinking Joker will lead to mass…,redsteeze thinking video somehow incite violence medium brand different thinking joker lead mass,96,0
64,2019-10-14 13:04:26,RT @linabugz: ....seeing this made me realize how god awful Jared Leto‘ Joker laugh was HOLY HELL https://t.co/UIy8CbPQTx,linabugz seeing made realize god awful jared leto joker laugh holy hell uiy cbpqtx,82,-1
65,2019-10-14 13:04:26,RT @MARKPOINT0904: 191013 KEEP SPINNING TOUR IN BERLIN #GOT7 #MARK #段宜恩 #갓세븐 #마크 #GOT7WORLDTOUR #GOT7_KEEPSPINNING #GOT7inBerlin my BATMAN…,markpoint keep spinning tour berlin got mark got worldtour got keepspinning got inberlin batman,95,0
66,2019-10-16 22:35:30,"RT @austrumental: the ""How does Batman do it?"" always gets me son, dis nigga be SLANGIN https://t.co/yPkg4vW6vj",austrumental batman always get son dis nigga slangin ypkg vw vj,63,0
67,2019-10-16 22:35:31,RT @thomas_polito: Get Adam Sandler or Jack Black if Reeves is going outside the box. https://t.co/2mD8oWVxkI,thomas polito get adam sandler jack black reef going outside box md owvxki,74,-1
68,2019-10-16 22:35:32,RT @CultureCrave: Jonah Hill is no longer in talks for a role in 'The Batman' after a deal couldn't be made over salary. Hill originally wa…,culturecrave jonah hill longer talk role batman deal uldn made salary hill originally wa,88,1
69,2019-10-16 22:35:33,RT @ItsBenOneWeek: @fg083 2 hours of joker's jokes and tricks!!,itsbenoneweek fg hour joker joke trick,38,0
70,2019-10-16 22:35:33,"I’ll do ya worse. I haven’t ripped any spines lately, MAUAHAHAHAHAHAHA!!!",ya worse ripped spine lately mauahahahahahaha,45,-1
71,2019-10-16 22:35:33,RT @pattinsonthings: robert pattinson wearing a batman t-shirt https://t.co/8LPWNRdtSZ,pattinsonthings robe pattinson wearing batman shi lpwnrdtsz,59,0
72,2019-10-16 22:35:33,"RT @dreamlikedaniel: me, pennywise, and the joker being the best clowns of 2019
https://t.co/rMZDjzK2nm",dreamlikedaniel pennywise joker best clown rmzdjzk nm,53,1
73,2019-10-16 22:35:34,RT @AdequateEmily: I feel like we should all be thankful the Joker discourse took over the conversation this month so we didn’t get a conti…,adequateemily feel like thankful joker dis urse took nversation month get nti,77,0
74,2019-10-16 22:35:35,"@Banneda73400980 They walk along the street with there stab proof vest , there Big yellow jackets, there combat tro… https://t.co/0hkyJp4Tux",banneda walk along street stab proof vest big yellow jacket mbat tro hkyjp tux,78,0
75,2019-10-16 22:35:35,"Joker (2019)
Dir:  Todd Phillips https://t.co/02xvwJEhup",joker dir todd phillips xvwjehup,32,0
76,2019-10-16 22:35:36,"RT @Jvstincrvz: #Catwoman casted in new #batman film, will #Joker get the Oscar buzz it deserves ? The division between critics and the aud…",jvstincrvz catwoman casted new batman film joker get oscar buzz deserves division critic aud,92,1
77,2019-10-16 22:35:36,"RT @Mister_BatfIeck: One of the crew members I've been anticipating the most to be announced. 

Grey and black Batsuit please, I can't take…",mister batfieck one crew member anticipating announced grey black batsuit please take,85,-1
78,2019-10-16 22:35:37,Good. Now I'm actually really wanting to see it.,good actually really wanting see,32,1
79,2019-10-16 22:35:38,"sohanahasan360..I will be your wordpress &amp; woocommerce theme customizer
#Fiverr https://t.co/YQO98ZxbhE… https://t.co/Jqz9xZOuxz",sohanahasan wordpress amp woo mmerce theme customizer fiverr yqo zxbhe jqz xzouxz,81,0
80,2019-10-16 22:35:38,RT @ArcherInRed: // I still think in the last cross over where Oliver was all shifty when they spoke about Batman and he insisting it’s a l…,archerinred still think last cross oliver shifty spoke batman insisting l,73,0
81,2019-10-16 22:35:39,RT @lordbugbug: this new batman movie might be a little Too sexy... https://t.co/BjnCQXaMVV,lordbugbug new batman movie might little sexy bjncqxamvv,56,1
82,2019-10-16 22:35:39,"Just been to see Joker and there wasn’t a single game of cards in the whole film, rubbish, booooo, 0/10.",see joker single game card whole film rubbish booooo,52,-1
83,2019-10-16 22:35:39,RT @Borys_Kit: On the Seth Rogen BATMAN rumor: there were some initial talks for him to play Penguin while WB courted Hill for Riddler (onc…,borys kit seth rogen batman rumor initial talk play penguin wb u ed hill riddler onc,84,0
84,2019-10-16 22:35:40,"RT @IGN: Jonah Hill has reportedly passed on joining the cast of The Batman.
https://t.co/jueFXgnls7 https://t.co/us6f5I8UUb",ign jonah hill repo edly passed joining cast batman juefxgnls u f uub,69,0
85,2019-10-16 22:35:41,"RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a 2019 #NYCC exclusive Pink Chrome Batman Pop!  
#Funko #Exclusive #Givea…",originalfunko amp follow originalfunko chance win nycc exclusive pink chrome batman pop funko exclusive givea,109,1
86,2019-10-16 22:35:41,RT @BatmanSource: Joker as a retro comic by dvglzv on Instagram. https://t.co/FwX1qcKoUp,batmansource joker retro mic dvglzv instagram fwx qckoup,56,0
87,2019-10-16 22:35:42,"My top 5 Joker actors

1. Mark Hamill
2. Heath Ledger
3.Joaquin Phoenix
4. Jack Nicholson 
5. Cesar Romero

Honorab… https://t.co/xQedrBh2xU",top joker actor mark hamill heath ledger joaquin phoenix jack nicholson cesar romero honorab xqedrbh xu,103,1
88,2019-10-16 22:35:42,RT @Rozb7aleeb: My joker opinion https://t.co/PCr3g0Cztw,rozb aleeb joker opinion pcr g cztw,35,0
89,2019-10-16 22:35:42,been having a real joker of a week plz no one talk to me the rest of the month,real joker week plz one talk rest month,39,1
90,2019-10-16 22:35:42,"Might have a double feature and catch either Gemini man, zombie land, or maleficent",might double feature catch either gemini man zombie land maleficent,67,0
91,2019-10-16 22:35:44,RT @TenisonWen: Joker (2019) https://t.co/iJxRt9mkDf,tenisonwen joker ijxrt mkdf,27,0
92,2019-10-16 22:35:45,"RT @AnaSMatos1988: Bruce Wayne, you're a liar #batman #batman81 #dickgrayson #jasontodd #timdrake #Nightwing #RedHood https://t.co/tLrYY2Yt…",anasmatos bruce wayne liar batman batman dickgrayson jasontodd timdrake nightwing redhood tlryy yt,98,0
93,2019-10-16 22:35:45,@mattreevesLA can we pleaseeeee get a blue and grey batman suit finally.. you know lik batman has always worn lol t… https://t.co/z3MZdtzKhW,mattreevesla pleaseeeee get blue grey batman suit finally know lik batman always worn lol z mzdtzkhw,100,1
94,2019-10-16 22:35:46,He said: https://t.co/8d3rHMeDVF,said rhmedvf,12,0
95,2019-10-16 22:35:46,RT @clownbabys: glenn howerton could do joker but joaquin phoenix couldn’t do dennis https://t.co/pzPk2UqX63,clownbabys glenn howe uld joker joaquin phoenix uldn dennis pzpk uqx,68,0
96,2019-10-16 22:35:47,RT @CBMCringe: Joker (2019) https://t.co/kzINpeLdWv,cbmcringe joker kzinpeldwv,26,0
97,2019-10-16 22:35:47,@Borys_Kit Probably would've been another Nicholson and Schwarzenegger situation were the villain gets more push than Batman .,borys kit probably would another nicholson schwarzenegger situation villain get push batman,91,0
98,2019-10-16 22:35:47,@JoyTaylorTalks You're not looking at it correctly. The whole story uses The Joker character as a vehicle to expose… https://t.co/WYw0daE5Bm,joytaylortalks looking rrectly whole story us joker character vehicle expose wyw dae bm,87,1
99,2019-10-16 22:35:47,"RT @ComicBook_Movie: #JonahHill No Longer In Talks To Join The Cast Of #TheBatman; Seth Rogen Wanted For Penguin?

https://t.co/Nq6L7vAWiY",comicbook movie jonahhill longer talk join cast thebatman seth rogen wanted penguin nq l vawiy,94,0
100,2019-10-16 22:35:48,RT @ryanheezy: the joker but he laughs like seth rogen https://t.co/KbvMt5Ij7b,ryanheezy joker laugh like seth rogen kbvmt ij b,48,1
101,2019-10-16 22:35:48,All these Joker getting hit by a car memes lmaooo I love Twitter,joker getting hit car meme lmaooo love twitter,46,1
102,2019-10-16 22:35:48,IS IT MY BIRTHDAY,bi hday,7,0
103,2019-10-17 10:31:24,"RT @RedLReviews: No one tell him about Adam West Batman, he’d keel over from the shock.

... hey dude Catwoman in the 60s show was a black…",redlreviews one tell adam west batman keel shock hey dude catwoman show black,77,-1
104,2019-10-17 10:31:24,RT @_jirasicpahk: I gotta say... 2019 is a year where films are so GOOD and EXCITING! From ‘Endgame’ to Cinemalaya films to PPP films to ‘J…,jirasicpahk gotta say year film good exciting endgame cinemalaya film ppp film j,80,1
105,2019-10-17 10:31:26,Lots of J’s there I now realize,lot j realize,13,0
106,2019-10-17 10:31:27,"On the subject of the Joker, this scene from THE DARK KNIGHT is still one of my all-time favourites. I've said if m… https://t.co/VKXDTO6agU",subject joker scene dark knight still one time favourite said vkxdto agu,72,-1
107,2019-10-17 10:31:27,RT @BatmanSource: Joker as a retro comic by dvglzv on Instagram. https://t.co/FwX1qcKoUp,batmansource joker retro mic dvglzv instagram fwx qckoup,56,0
108,2019-10-17 10:31:27,RT @reactorstark: feeling bad for what happened to arthur fleck isn’t called being a joker sympathizer https://t.co/BWotma94Wj,reactorstark feeling bad happened hur fleck called joker sympathizer bwotma wj,78,-1
109,2019-10-17 10:31:29,RT @Paczkowoz: Joker sitting in places he shouldn’t be; a thread https://t.co/U65XI8QJ9c,paczkowoz joker sitting place thread u xi qj c,46,0
110,2019-10-17 10:31:29,RT @BatmanSource: Joker as a retro comic by dvglzv on Instagram. https://t.co/FwX1qcKoUp,batmansource joker retro mic dvglzv instagram fwx qckoup,56,0
111,2019-10-17 10:31:32,RT @vintagefetish: the joker in the bathroom after the subway incident: https://t.co/znrthBbUTe,vintagefetish joker bathroom subway incident zn hbbute,54,0
112,2019-10-17 10:31:32,"After a lot of introspection and reflection, Joker has climbed to be my second favorite movie of all time! Followin… https://t.co/5u7dvMfcj0",lot introspection reflection joker climbed se nd favorite movie time followin u dvmfcj,86,1
113,2019-10-17 10:31:33,RT @SkyHidaka: JOKER https://t.co/jPIfJGM6V1,skyhidaka joker jpifjgm v,25,0
114,2019-10-17 10:31:34,RT @ndmhja: @I_Am_MFR More people are okay with the Joker being dark because it’s not a hero story. Pre-conceived notions are left at the d…,ndmhja mfr people okay joker dark hero story pre nceived notion left,68,1
115,2019-10-17 11:48:02,RT @iam_stance: Heath Ledger is the best joker for acting. Jared Leto looks like the best Joker costume. https://t.co/hST3Mz8uVC,iam stance heath ledger best joker acting jared leto look like best joker stume hst mz uvc,90,1
116,2019-10-17 11:48:05,RT @Debbie_Vesino: @TerranceKozak @jack That crap one must stand up for alway. He after women &amp;  people of Color @Jack . Or he messes with…,debbie vesino terrancekozak jack crap one must stand alway woman amp people color jack mess,91,-1
117,2019-10-17 11:48:09,RT @myre_x: The joker but with Jose Mourinho's laugh https://t.co/fbMX8ndfdq,myre x joker jose mourinho laugh fbmx ndfdq,43,1
118,2019-10-17 11:48:09,RT @ShawnCoss: @muratpak Life is a comedy. #joker #archillect https://t.co/mevyChvVCs,shawncoss muratpak life medy joker archillect mevychvvcs,56,0
119,2019-10-17 11:48:09,"Illegally streamed joker, that man truly does live in a society",illegally streamed joker man truly live society,47,-1
120,2019-10-17 11:48:09,What happen if joker take place today???? Joker have AirPods,happen joker take place today joker airpods,43,0
121,2019-10-17 11:48:09,RT @dril: the jduge orders me to take off my anonymous v mask &amp; im wearing the joker makeup underneath it. everyone in the courtroom groans…,dril jduge order take anonymous v mask amp im wearing joker makeup underneath everyone u room groan,99,0
122,2019-10-17 11:48:10,"RT @dreamlikedaniel: me, pennywise, and the joker being the best clowns of 2019
https://t.co/rMZDjzK2nm",dreamlikedaniel pennywise joker best clown rmzdjzk nm,53,1
123,2019-10-17 11:48:10,"RT @dreamlikedaniel: me, pennywise, and the joker being the best clowns of 2019
https://t.co/rMZDjzK2nm",dreamlikedaniel pennywise joker best clown rmzdjzk nm,53,1
124,2019-10-17 11:48:11,RT @sapunintended: joker (2019) dir. todd phillips https://t.co/Q80O4Wcw7d,sapunintended joker dir todd phillips q wcw,43,0
125,2019-10-17 11:48:11,RT @sapunintended: joker (2019) dir. todd phillips https://t.co/Q80O4Wcw7d,sapunintended joker dir todd phillips q wcw,43,0
126,2019-10-17 11:54:24,"RT @jonnysun: if he:

☑️ laughs uncontrollably and at inappropriate times
☑️ lives among the lower working class in skid row
☑️ takes pleas…",jonnysun laugh un ntrollably inappropriate time life among lower working class skid row take plea,97,1
127,2019-10-17 11:54:25,"RT @Ghadaaax: JOKEr 
#JokerMovie https://t.co/MhmA0sHgN0",ghadaaax joker jokermovie mhma shgn,35,0
128,2019-10-17 13:19:08,idk how people walked out of the joker movie or were bothered by it. i’ve watched it 3 times now and loved it each time,idk people walked joker movie bothered watched time loved time,62,1
129,2019-10-17 13:19:08,RT @CBMCringe: Fancast for ridddler in mat reeves batman https://t.co/XuAU3b6qnI,cbmcringe fancast ridddler mat reef batman xuau b qni,53,0
130,2019-10-17 13:19:08,"RT @41Strange: Batman, the early years...

“The Knight of the Snows” directed by Georges Méliès in 1913 https://t.co/P2suqNaR9w",strange batman early year knight snow directed george li p suqnar w,67,1
131,2019-10-17 13:19:09,RT @yourfaveweezer: Joker is in Weezer! https://t.co/p1j2y31kM6,yourfaveweezer joker weezer p j km,34,0
132,2019-10-17 13:19:10,RT @joaqnphoenix: the only controversial thing about joker is joaquin looking fly as fuck smoking a pack of 20,joaqnphoenix ntroversial thing joker joaquin looking fly fuck smoking pack,74,1
133,2019-10-17 13:19:13,RT @ArthurFleck___: JOKER https://t.co/FKxwhzWp6T,hurfleck joker fkxwhzwp,23,0
134,2019-10-17 13:19:13,"RT @SydneyAzari: The thing no one is mentioning about The Joker movie is how it should have played ""I Wanna Dance with Somebody"" by Whitney…",sydneyazari thing one mentioning joker movie played wanna dance somebody whitney,80,0
135,2019-10-17 13:19:15,"@sinnsage That’s the thing, I’m aware that it has nothing to do with Batman or the comics. I just always associated one with the other.",sinnsage thing aware nothing batman mics always associated one,62,1
136,2019-10-17 13:19:16,RT @Cosmodore: Joker (2019) https://t.co/oUQlL5qz10,cosmodore joker ouqll qz,24,0
137,2019-10-17 13:19:16,"@larainenewman  I enjoyed your voice work in The New Batman Adventures, As Told by Ginger, The Fairly OddParents, e… https://t.co/mgbr16sHSG",larainenewman enjoyed voice work new batman adventure told ginger fairly oddparents e mgbr shsg,95,1
138,2019-10-17 13:19:17,"RT @dreamlikedaniel: me, pennywise, and the joker being the best clowns of 2019
https://t.co/rMZDjzK2nm",dreamlikedaniel pennywise joker best clown rmzdjzk nm,53,1
139,2019-10-17 13:19:17,"RT @SidneyStarrDC: Heading out for shopping, eating, drinking and watching Joker tonight. It’s definitely colder here than in DC but still…",sidneystarrdc heading shopping eating drinking watching joker tonight definitely lder dc still,94,0
140,2019-10-17 13:19:18,Because batman is elite,batman elite,12,0
